sep=|
104|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
105|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|2,000000
106|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
107|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
108|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
109|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
110|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
111|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
112|0,000000|2,000000
113|-0,000000|-26815622173765944727176394033577992661168505387037051323079600849538061055921901165840495318128157676463944541887172101512539006055573359858166820528717824,000000
114|2,000000|-0,000000
115|2,000000|-0,000000
116|2,000000|-0,000000
117|-0,000000|-2,000000
118|2,000000|-0,000000
119|2,000000|-0,000000
120|0,000000|2,000000
121|0,000000|-0,000000
122|-0,000000|0,000000
123|-0,000000|0,000000
124|0,000000|2,000000
125|0,000000|26815622179224533038844478800148605387770248303704883875193210730869666433514824173191868211541989350852382680918934832275674698192854049189058569756999680,000000
126|0,000000|2,000000
127|0,000000|2,000000
128|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
129|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|26815622180953728369927620607499190936735555170067203120351906460763275194569212377358022296769952715089172181766634605201549525720731347469677521174265856,000000
130|0,000000|-0,000000
131|0,000000|-0,000000
132|-2,000000|0,000000
133|-0,000000|0,000000
134|-2,000000|0,000000
135|-2,000000|0,000000
136|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-26815622197248021126636789531039927746882771731041850090836708882587822611148957272401278906965774084826947229962806449417885681529625389470493901961822208,000000
137|2,000000|-0,000000
138|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
139|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
140|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-26815622197248021126636789531039927746882771731041850090836708882587822611148957272401278906965774084826947229962806449417885681529625389470493901961822208,000000
141|0,000000|26815622192458138210553456159751627489928209616337266385937368477268522189352555688144906123222297668458436292783931221617724182197671306517420888729583616,000000
142|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-26815622197248021126636789531039927746882771731041850090836708882587822611148957272401278906965774084826947229962806449417885681529625389470493901961822208,000000
143|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-26815622197248021126636789531039927746882771731041850090836708882587822611148957272401278906965774084826947229962806449417885681529625389470493901961822208,000000
144|2,000000|2,000001
145|-2,000000|0,000000
146|0,000000|-0,000000
147|0,000000|-0,000000
148|-0,000000|-0,000000
149|-0,000000|-0,000000
150|-0,000000|-0,000000
151|-0,000000|-0,000000
152|2,000000|2,000001
153|-0,000000|26815634977392046600925590207938037060712739286697906200895333044075174172626795743937183791539496560118328933392370449192213406850355645387990061618823168,000000
